# Generated by mapping/generate_sim_positions.py --seed 1 from generated_pos_config.hpp.
# 233 mapped, 767 synthetic. Angles in degrees CCW from +x.
index,z_mm,radius_mm,angle_deg,source
280,1970.7,255.5,254.25,synthetic
281,879.9,294.3,92.27,synthetic
282,866.8,291.3,191.8,synthetic
283,1329.8,275.8,340.51,synthetic
284,745.8,416.7,77.18,synthetic
285,1229.9,395.4,87.0,synthetic
286,550.1,423.3,249.9,synthetic
287,1262.6,181.7,181.42,synthetic
288,1189.3,240.6,320.94,synthetic
289,856.7,428.2,172.95,synthetic
290,383.9,180.8,31.69,synthetic
291,1251.7,214.2,18.01,synthetic
292,442.9,393.0,204.33,synthetic
293,1820.6,252.6,117.95,synthetic
294,1693.8,219.3,30.44,synthetic
295,603.4,169.1,225.23,synthetic
296,1728.9,230.3,8.32,synthetic
297,938.4,309.1,40.82,synthetic
298,1998,231.1,27.86,synthetic
299,1402.0,333.4,108.0,synthetic
300,589.7,453.7,50.05,synthetic
301,1071.0,287.5,259.22,synthetic
302,1560.5,248.9,185.49,synthetic
303,947.4,414.1,40.4,synthetic
304,1692.5,384.4,333.8,synthetic
305,669.9,435.3,244.44,synthetic
306,392,274,272,mapped
307,399,256,258,mapped
308,266,276,277,mapped
309,1324.5,283.9,336.2,synthetic
310,868.6,500.4,227.78,synthetic
311,1232.4,241.9,86.61,synthetic
312,1998,266.7,196.54,synthetic
313,596.8,332.4,45.39,synthetic
314,1462.1,265.2,134.45,synthetic
315,1343.4,192.1,289.61,synthetic
316,1212.0,397.9,10.95,synthetic
317,980.9,396.9,208.54,synthetic
318,1329.7,463.3,77.86,synthetic
319,1731.3,283.1,105.24,synthetic
320,527.7,562.3,137.42,synthetic
321,853.6,449.5,106.31,synthetic
322,1648.9,284.4,217.33,synthetic
323,257.9,302.1,47.73,synthetic
324,1488.1,321.9,317.81,synthetic
325,418,148,113,mapped
326,1280.7,334.0,99.38,synthetic
327,1151.1,373.5,218.08,synthetic
328,292.7,529.2,251.05,synthetic
329,53,260,135,mapped
330,1674.9,217.4,40.01,synthetic
331,284,305,191,mapped
332,220.0,349.3,281.85,synthetic
333,-99,193,176,mapped
334,168,305,190,mapped
335,-120,368,176,mapped
336,175,216,161,mapped
337,1197.6,377.2,235.75,synthetic
338,1576.5,488.5,223.85,synthetic
339,323.1,414.6,128.78,synthetic
340,716.9,547.6,152.06,synthetic
341,1426.5,311.0,236.72,synthetic
342,1947.8,266.7,135.47,synthetic
343,532.9,629.6,122.84,synthetic
344,1570.3,141.8,20.17,synthetic
345,1213.1,144.1,184.7,synthetic
346,979.7,315.2,255.75,synthetic
347,1373.8,239.0,323.03,synthetic
348,897.5,285.9,82.01,synthetic
349,482.8,502.0,349.17,synthetic
350,1300.7,408.8,133.04,synthetic
351,1377.1,205.6,260.37,synthetic
352,462.9,169.2,175.78,synthetic
353,645.1,618.2,53.96,synthetic
354,311,168,153,mapped
355,278,108,152,mapped
356,1023.6,366.0,338.89,synthetic
357,1272.9,342.3,240.2,synthetic
358,1650.2,126.4,188.86,synthetic
359,184.8,461.6,6.76,synthetic
360,1155.0,229.5,82.21,synthetic
361,1390.1,311.5,1.92,synthetic
362,1668.2,388.7,64.46,synthetic
363,1413.9,196.3,279.01,synthetic
364,1196.1,312.8,184.72,synthetic
365,1020.8,264.2,14.56,synthetic
366,1233.2,311.9,235.28,synthetic
367,1136.0,170.3,143.34,synthetic
368,1213.2,324.6,201.59,synthetic
369,1295.7,288.9,16.19,synthetic
370,1248.6,335.3,112.32,synthetic
371,200,448,174,mapped
372,208,507,175,mapped
373,-73,386,174,mapped
374,-57,491,172,mapped
375,732.4,455.6,60.01,synthetic
376,652.7,196.7,192.49,synthetic
377,1182.8,137.7,289.1,synthetic
378,1189.8,292.9,72.26,synthetic
379,1665.3,227.8,334.15,synthetic
380,672.2,441.3,223.93,synthetic
381,1403.8,325.8,334.21,synthetic
382,776.2,380.0,168.39,synthetic
383,174,349,186,mapped
384,-83,285,180,mapped
385,-85,288,180,mapped
386,393,333,206,mapped
387,391,360,212,mapped
388,206,344,226,mapped
389,521.6,618.1,345.17,synthetic
390,632.6,183.0,71.43,synthetic
391,1131.9,305.6,86.34,synthetic
392,263.6,312.6,225.15,synthetic
393,373.1,298.3,240.23,synthetic
394,166.6,321.7,212.76,synthetic
395,478.1,200.9,196.69,synthetic
396,602.3,342.4,258.81,synthetic
397,400,272,203,mapped
398,579,399,207,mapped
399,1093.4,201.9,301.89,synthetic
400,427,348,217,mapped
401,587.1,180.6,105.04,synthetic
402,1274.9,393.2,75.18,synthetic
403,1256.7,347.3,37.09,synthetic
404,374,365,241,mapped
405,309,407,251,mapped
406,308,407,251,mapped
407,1050.8,369.2,91.76,synthetic
408,26.1,346.6,47.65,synthetic
409,1307.6,339.9,40.51,synthetic
410,959.9,316.6,182.78,synthetic
411,352.5,246.1,354.85,synthetic
412,500.9,312.2,48.22,synthetic
413,522,157,281,mapped
414,425,208,285,mapped
415,361,195,303,mapped
416,386,219,318,mapped
417,1379.5,294.8,261.02,synthetic
418,1462.2,310.8,136.1,synthetic
419,1205.7,109.5,83.04,synthetic
420,117.3,243.3,181.03,synthetic
421,1662.6,254.0,98.53,synthetic
422,1308.9,187.3,299.17,synthetic
423,559.7,173.0,5.71,synthetic
424,1502.0,349.9,193.92,synthetic
425,881.6,361.4,33.85,synthetic
426,510,173,359,mapped
427,537,191,353,mapped
428,559,208,5,mapped
429,1316.2,457.7,67.96,synthetic
430,343.9,444.4,68.4,synthetic
431,1177.5,345.9,237.11,synthetic
432,1380.6,367.4,279.67,synthetic
433,163.4,301.3,219.82,synthetic
434,1892.5,203.9,326.4,synthetic
435,739.1,166.1,311.75,synthetic
436,1232.3,325.5,357.51,synthetic
437,1503.0,280.2,96.45,synthetic
438,1062.2,232.9,336.47,synthetic
439,1275.1,259.1,109.66,synthetic
440,1450.7,298.7,53.78,synthetic
441,1151.5,279.2,218.57,synthetic
442,1516.1,294.5,149.45,synthetic
443,1214.0,137.9,206.57,synthetic
444,342.0,130.3,119.54,synthetic
445,1139.0,369.0,26.7,synthetic
446,1929.1,283.0,304.97,synthetic
447,1122.9,121.6,332.13,synthetic
448,1998,304.2,77.02,synthetic
449,1874.9,264.2,312.05,synthetic
450,821.3,240.1,358.43,synthetic
451,320,344,107,mapped
452,1727.5,277.5,276.32,synthetic
453,649.4,578.7,95.58,synthetic
454,1045.5,218.5,26.97,synthetic
455,503.6,518.0,342.86,synthetic
456,958.3,351.3,94.61,synthetic
457,282.4,237.5,259.81,synthetic
458,196.0,498.2,351.32,synthetic
459,1638.3,285.7,198.26,synthetic
460,976.2,286.6,159.2,synthetic
461,1031.6,484.9,13.42,synthetic
462,905.8,420.1,254.48,synthetic
463,1442.8,325.2,314.25,synthetic
464,1021.0,193.2,211.48,synthetic
465,1461.8,321.6,259.76,synthetic
466,1224.7,361.0,120.57,synthetic
467,1382.1,310.5,79.12,synthetic
468,1406.4,227.0,91.19,synthetic
469,1170.0,261.2,82.83,synthetic
470,1958.3,232.3,190.14,synthetic
471,314.1,265.4,87.49,synthetic
472,1178.7,394.4,70.29,synthetic
473,713.3,371.6,224.3,synthetic
474,1243.2,229.7,7.44,synthetic
475,339.4,426.4,208.07,synthetic
476,1396.0,309.1,123.7,synthetic
477,-103.9,300.7,70.31,synthetic
478,1292.4,393.7,202.9,synthetic
479,1038.6,310.2,307.84,synthetic
480,1353.8,294.5,162.03,synthetic
481,1154.8,252.8,96.58,synthetic
482,1536.7,266.4,218.66,synthetic
483,766.2,377.1,5.28,synthetic
484,1537.6,274.9,83.57,synthetic
485,1098.9,207.2,171.36,synthetic
486,842.1,312.7,157.45,synthetic
487,1157.6,233.2,313.75,synthetic
488,263.3,239.1,136.35,synthetic
489,883.8,257.8,212.11,synthetic
490,1598.6,322.7,118.31,synthetic
491,1236.9,295.9,232.36,synthetic
492,519.7,168.3,122.68,synthetic
493,-120,219.8,252.2,synthetic
494,673.5,440.7,230.68,synthetic
495,370,525,168,mapped
496,543,491,188,mapped
497,466,544,184,mapped
498,625,509,191,mapped
499,835.2,419.3,151.36,synthetic
500,704,516,202,mapped
501,557,481,199,mapped
502,1272.9,218.2,338.5,synthetic
503,923.5,289.6,218.83,synthetic
504,1337.5,309.6,136.57,synthetic
505,1388.7,264.2,356.22,synthetic
506,1423.9,284.0,247.48,synthetic
507,1024.4,226.9,243.09,synthetic
508,232.2,290.5,288.43,synthetic
509,1175.8,181.5,217.35,synthetic
510,1361.4,292.6,154.63,synthetic
511,1612.2,278.2,31.12,synthetic
512,1210.8,198.1,231.6,synthetic
513,836.0,508.2,282.39,synthetic
514,265.7,508.7,46.7,synthetic
515,568,459,208,mapped
516,528,462,213,mapped
517,460,432,220,mapped
518,580,380,214,mapped
519,670,410,205,mapped
520,796,236,208,mapped
521,552,213,190,mapped
522,518,191,187,mapped
523,477,223,230,mapped
524,727,262,229,mapped
525,607,250,252,mapped
526,243.3,512.3,24.59,synthetic
527,258,270,276,mapped
528,362.5,291.7,7.57,synthetic
529,-120,329.1,193.66,synthetic
530,476,277,304,mapped
531,888.1,329.7,168.83,synthetic
532,539.5,526.6,198.24,synthetic
533,504,69,189,mapped
534,766.2,346.3,21.52,synthetic
535,1135.5,323.4,12.72,synthetic
536,800.0,245.4,230.45,synthetic
537,641,94,321,mapped
538,1518.0,104.1,80.96,synthetic
539,958.6,486.5,316.1,synthetic
540,597,181,342,mapped
541,527.8,426.6,159.54,synthetic
542,683,104,335,mapped
543,717.5,35.3,212.23,synthetic
544,1093.2,206.6,82.01,synthetic
545,670,37,273,mapped
546,825.6,253.4,41.74,synthetic
547,1617.5,331.3,79.14,synthetic
548,800.6,212.3,260.13,synthetic
549,1420.4,268.4,70.13,synthetic
550,1019.3,294.1,312.21,synthetic
551,1171.7,352.8,139.15,synthetic
552,1133.1,286.1,123.73,synthetic
553,826,168,41,mapped
554,532.9,392.0,40.98,synthetic
555,-75.8,268.7,109.37,synthetic
556,583,376,59,mapped
557,547,543,56,mapped
558,806.4,348.8,133.4,synthetic
559,1295.6,291.2,184.05,synthetic
560,1178.4,341.1,60.49,synthetic
561,1269.9,358.9,60.1,synthetic
562,1341.1,197.3,48.67,synthetic
563,408.6,344.4,113.48,synthetic
564,738.6,443.8,111.51,synthetic
565,1061.8,282.7,38.67,synthetic
566,592,528,53,mapped
567,671.1,537.2,24.91,synthetic
568,737,358,110,mapped
569,780.1,203.9,343.81,synthetic
570,1289.0,181.8,346.49,synthetic
571,1271.5,416.7,181.3,synthetic
572,1591.5,264.5,123.15,synthetic
573,384.2,222.9,318.69,synthetic
574,1562.4,337.3,75.66,synthetic
575,618.8,538.0,87.96,synthetic
576,1520.5,224.9,339.06,synthetic
577,1441.0,368.0,80.19,synthetic
578,1203.5,421.1,50.71,synthetic
579,752.7,104.3,320.26,synthetic
580,1422.7,298.2,195.09,synthetic
581,1042.0,379.3,65.84,synthetic
582,1724.0,219.1,155.92,synthetic
583,-92.3,257.1,278.1,synthetic
584,326.6,274.2,130.64,synthetic
585,815,296,148,mapped
586,205.2,412.7,250.59,synthetic
587,451.7,242.7,231.78,synthetic
588,778,407,166,mapped
589,808,518,176,mapped
590,448.1,235.8,300.81,synthetic
591,620,561,169,mapped
592,763,448,178,mapped
593,781,401,179,mapped
594,723,427,168,mapped
595,1433.5,331.1,6.46,synthetic
596,995.5,462.7,307.18,synthetic
597,737,242,163,mapped
598,817,191,164,mapped
599,763,88,151,mapped
600,1164.4,288.0,48.79,synthetic
601,-120,322.0,241.11,synthetic
602,553,585,215,mapped
603,927.8,429.1,320.54,synthetic
604,1420.1,319.4,94.35,synthetic
605,745,438,202,mapped
606,936,447,195,mapped
607,1327.1,397.7,116.26,synthetic
608,1011,455,192,mapped
609,934,416,201,mapped
610,937,413,208,mapped
611,905,364,210,mapped
612,706.0,380.8,294.29,synthetic
613,1720.7,279.7,175.53,synthetic
614,394.5,128.0,155.32,synthetic
615,857,364,258,mapped
616,809,271,286,mapped
617,870,324,306,mapped
618,870,324,306,mapped
619,870,322,307,mapped
620,806,359,316,mapped
621,1504.7,174.8,128.33,synthetic
622,1273.4,176.6,92.13,synthetic
623,391.3,409.0,126.62,synthetic
624,1058.3,223.4,69.22,synthetic
625,1268.6,110.1,173.21,synthetic
626,1481.3,297.6,266.8,synthetic
627,272.1,217.3,169.8,synthetic
628,1136.3,117.6,202.71,synthetic
629,1085.8,274.3,138.96,synthetic
630,1400.7,260.9,211.92,synthetic
631,170.4,558.8,132.59,synthetic
632,983.4,246.4,109.3,synthetic
633,434.9,267.3,313.8,synthetic
634,552.3,210.1,343.51,synthetic
635,1272.0,319.6,290.95,synthetic
636,1209.2,309.2,315.56,synthetic
637,-56.5,482.8,58.87,synthetic
638,448.1,239.5,94.35,synthetic
639,513.1,438.4,64.97,synthetic
640,1397.8,270.3,153.87,synthetic
641,1183.4,318.0,111.99,synthetic
642,1082.2,160.3,283.5,synthetic
643,637.7,254.6,245.6,synthetic
644,1721.0,288.2,235.7,synthetic
645,1432.5,240.4,319.48,synthetic
646,1216.7,135.4,19.45,synthetic
647,1474.5,315.8,193.77,synthetic
648,284.4,338.7,307.04,synthetic
649,1080,366,174,mapped
650,188.2,221.6,340.87,synthetic
651,1259.3,352.9,279.31,synthetic
652,478.4,476.3,98.38,synthetic
653,1781.3,275.7,23.37,synthetic
654,1102.5,251.8,305.92,synthetic
655,1029.3,219.4,268.98,synthetic
656,1083,261,220,mapped
657,1068,235,218,mapped
658,1068,235,217,mapped
659,1003,444,222,mapped
660,1085,445,235,mapped
661,1139,384,224,mapped
662,1036,343,234,mapped
663,1116,350,237,mapped
664,1092,318,240,mapped
665,998,295,240,mapped
666,1088,314,241,mapped
667,808.4,482.1,167.51,synthetic
668,1270.0,418.4,318.04,synthetic
669,1397.5,312.0,171.99,synthetic
670,1037,346,255,mapped
671,1120,211,270,mapped
672,1052,299,260,mapped
673,987,253,287,mapped
674,942,256,301,mapped
675,916,329,309,mapped
676,442.4,484.8,69.66,synthetic
677,953,229,297,mapped
678,860,219,323,mapped
679,1640.5,331.3,77.8,synthetic
680,969,210,316,mapped
681,1309.4,271.3,153.07,synthetic
682,1301.8,229.3,134.83,synthetic
683,912.9,351.7,258.03,synthetic
684,912.9,479.3,109.11,synthetic
685,1030,287,334,mapped
686,1000,378,341,mapped
687,990,347,347,mapped
688,990,503,303,mapped
689,1215.5,251.1,36.12,synthetic
690,746.1,403.3,165.15,synthetic
691,1265.5,223.9,177.94,synthetic
692,1355.8,423.4,228.78,synthetic
693,1080,227,354,mapped
694,1424.7,316.0,116.38,synthetic
695,1518.3,258.5,193.05,synthetic
696,541.4,76.4,336.05,synthetic
697,272.3,549.7,325.91,synthetic
698,1570.0,98.8,129.43,synthetic
699,1410.6,273.6,237.84,synthetic
700,974.9,293.9,326.55,synthetic
701,1062.2,400.3,251.5,synthetic
702,1255.2,269.7,348.61,synthetic
703,1075.3,269.2,280.84,synthetic
704,1597.5,292.9,115.29,synthetic
705,580.0,265.8,105.72,synthetic
706,1045.8,379.1,342.72,synthetic
707,523.4,158.6,263.8,synthetic
708,580.7,372.8,195.19,synthetic
709,1203.5,300.3,188.26,synthetic
710,819.4,359.9,349.21,synthetic
711,542.4,548.0,52.81,synthetic
712,1191,120,213,mapped
713,1191,123,77,mapped
714,1052.8,202.1,120.18,synthetic
715,1564.9,318.8,245.15,synthetic
716,1358.8,255.3,84.61,synthetic
717,1255.9,290.8,12.33,synthetic
718,1349.6,193.7,51.4,synthetic
719,1042.6,471.8,100.82,synthetic
720,1423.2,264.0,190.45,synthetic
721,1880.9,245.5,86.72,synthetic
722,1561.1,282.8,15.18,synthetic
723,1609.7,245.4,25.88,synthetic
724,348.0,359.4,144.1,synthetic
725,214.0,400.3,334.95,synthetic
726,1351.7,308.7,51.38,synthetic
727,1023.6,358.2,335.66,synthetic
728,949.2,299.3,74.14,synthetic
729,204.4,311.8,86.39,synthetic
730,550.9,389.2,204.39,synthetic
731,150.0,457.2,295.38,synthetic
732,1228.6,213.9,149.56,synthetic
733,1776.0,210.8,277.78,synthetic
734,1122.5,351.7,17.03,synthetic
735,1271.8,227.5,331.05,synthetic
736,1037.1,490.5,88.36,synthetic
737,1330,256,219,mapped
738,1208.8,235.2,342.3,synthetic
739,1636.4,215.4,170.05,synthetic
740,1218,317,191,mapped
741,1150,335,206,mapped
742,1150,336,207,mapped
743,1226,281,215,mapped
744,1315,278,226,mapped
745,1302,294,208,mapped
746,-95.2,192.0,270.08,synthetic
747,1281.7,330.9,34.87,synthetic
748,1256.4,215.4,254.45,synthetic
749,1178,108,216,mapped
750,1304,233,219,mapped
751,1179,192,255,mapped
